id	text	count
63209261	我 前任 后悔 不 后悔 我 不在乎 ， 反正 我 女朋友 前任 估计 肠子 都 悔断 了 ， 这么 好 一 妹子 被 我 碰到 了 ， 你 连 看 都 不能 看 噢	471
365082493	越是 嘴上 喊 着 要 让 前任 后悔 的 ， 大多 是 心里 还 记挂 前任 的 ， 嗓门 越大 越是 不 甘心 ， 挖空心思 敲锣打鼓 不过 是 为了 让 人家 看 你 一眼 而已 。 等到 真正 成长 到 能 让 前任 后悔 的 时候 ， 他 后悔 与否 早已 与 你 无关 ， 偶然间 听到 他 的 名字 ， 更 多 的 应该 是 感谢 。	99
63884369	真人真事 ， 我 初恋 ， 和 我 高中 在 一起 三年 ， 没有 上床 ， 因为 我 很 能 克制 ， 后来 上 了 大学 我 本科 211 ， 他 专科 ， 他 一直 说 自己 爱 我 ， 后来 ， 他 在 大学 谈 了 个 女朋友 ， 上床 了 ， ， 还 瞒 着 我 。 被 我 无意 中问 出来 了 。 。 。 。 。 我 说 你 怎么 会干 这种 事 ， 他 说 ： 这是 男人 正常 的 需求 而已 。 。 还 说 因为 那个 女 的 不是 处女 ， 所以 觉得 没什么 。 。 。 我 日 了 狗 。 然后 ， 大学毕业 后 ， 他 有 女朋友 又 瞒 着 他 女朋友 来 我 的 城市 见 我 。 。 麻痹 ， 见面 的 那个 瞬间 我 只 想 说 当初 怎么 会 看 上 这个 渣 。 老娘 完爆 他 十条 街 。 他 还 想 和 我 抱 一下 。 抱 尼玛 。 草 ， 直接 客气 送走 。 再见 ， 再也 不见 。 渣 男 。	34
63204575	若无其事 ， 原来 才 是 最狠 的 报复 … …	292
63531896	分手 之后 ， 收拾 心情 ， 收拾 好 自己 的 状态 ， 努力 提升 自己 ， 过好 自己 的 人生 。 至于 她 后悔 没 后悔 ， 关 我 P 事 ？ 从来不 关心 这种 无聊 的 事情 啊 。	216
63205523	从来 没有 过 这种 想法 ， 相反 ， 我 从来不 想 让 前任 知道 我过 得 好 ， 比 他 好 因为 每 一段 感情 我们 都 在 认真 的 付出 ， 不管 在 一起 的 时间 长 还是 短 我们 都 知道 对方 的 品行 ， 修养 ， 所以 不必 为了 报复 前任 而 表现 的 现在 比 过去 更好 有时候 会 感谢 分手 ， 因为 可以 体验 不 一样 的 事物 ， 情绪 如果 未来 又 有 了 新 的 感情 ， 在 前任 问起 我来 的 时候 ， 我 还 会 说 我 是 单身 在 我 知道 他 有 了 新 感情 的 时候 ， 是 会 难过 一阵子 的 ， 我 不想 让 对方 体验 到 这种 难过 也许 ， 这 就是 分手 后 ， 我 唯一 还 能 为 他 做 的 事情 吧 = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = = =	35
62918096	我 来说 说 吧 ， 貌似 不管 什么 原因 分手 的 ， 女人 后悔 的 几率 都 小于 男人 ？ 其实 网上 很早 之前 就 已经 发布 过有 研究 表明 了 普通 情侣 分手 后 男女 疗伤 期 的 差异 。 简单 的 来说 ， 男人 分手 后 6 个 月 内 完全 不 搭理 女方 的 ， 那 就是 真的 恩断义绝 了 ； 女人 如果 分手 三个 月 之后 能 走出 阴霾 ， 喜笑颜开 的 也 基本 回头 无望 了 。 好 ， 如何 让 你 的 前任 女友 追悔莫及 呢 ？ 其实 就是 一个 字 ： 宠 ！ 特别 是 对 那些 情商 低 ， 独立 能力差 ， 从小 傲娇 ， No   zuo   No   Die   .... 如果 你 没有 信心 娶 到手 ， 一定 要 一宠 到底 ！	362
63591074	你 还 这样 想 ， 你 会 继续 输	112
63831433	说明 她 已经 赢 了 ， 因为 你 还 在乎 。 。 。 。	149
63320488	其实 ， 他 后悔 与否 与 你 之后 会 变成 什么 样子 没有 太 大 关系 。 你 就算 从 丑小鸭 变成 白天鹅 ， 完成 了 一次 由 地 到 天 的 华丽 蜕变 ！ 他 如果 没 回头 直接 走远 了 ， 根本 就 没 看到 ， 那 又 有 什么 用 呢 ？ 这 其实 主要 看 你 在 交往 期间 的 表现 ， 你 在 恋爱 期间 的 所作所为 ， 才 会 让 他 对 你 产生 后悔 的 情绪 。 就 好比 爱情 呼叫转移 里 的 徐峥 ， 他 的 妻子 美丽 ， 善解人意 又 体贴 ， 但是 徐峥 日子 长 了 时间 久 了 却 觉得 乏味 ， 对 妻子 各种 挑三拣四 。 最后 主动 离婚 ， 在 得到 那个 手机 后 ， 见过 各种 脾气 迥异 的 姿色 比 妻子 还 漂亮 的 大美女 之后 ， 他 是 怎么 做 的 呢 ？ 赶紧 回去 找 妻子 ， 和 她 说 ： 你 不 知道 我 最近 发生 了 什么 ， 但是 我 发现 其实 你 才 是 最好 的 ！ 然而 呢 ？ 他 妻子 已经 再婚 ， 有 一个 非常 爱爱 她 的 新 丈夫 。 当 徐峥 被 送出门 的 时候 是 怎么样 的 情绪 呢 ？ 我 觉得 怕 是 悔 的 肠子 都 青 了 ！	30
